Altium Designer Pick and Place Locations
C:\Users\asli\Desktop\Hardware Design\Project Files\InProgress\LED_Matrix\Project Outputs for Free Documents\Pick Place\Pick Place for LED_Matrix.txt

========================================================================================================================
File Design Information:

Date:       05.11.24
Time:       21:43
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Comment                        Layer       Footprint              Center-X(mm) Center-Y(mm) Rotation Description                                                                                        
U9         ESP32-WROOM-32E-H4             TopLayer    ESP32-WROOM-32E-H4     13.3250      15.2380      90       "Rf Txrx Module Bt Trace Ant SMD"                                                                  
U8         "IC SHIFT REGISTER 8BIT 16SOP" TopLayer    16-SOIC                100.8770     43.7250      90       "74HC Series 6 V 3-State Surface Mount Shift Register - SOIC-16"                                   
U7         "IC SHIFT REGISTER 8BIT 16SOP" TopLayer    16-SOIC                75.9385      43.7250      90       "74HC Series 6 V 3-State Surface Mount Shift Register - SOIC-16"                                   
U6         TMP101NA/3K                    TopLayer    SOT-23-6               87.9950      42.4100      0        "±2°C Digital temperature sensor with I2C/SMBus interface and alert in SOT-23 6-SOT-23 -55 to 125" 
U5         "IC SHIFT REGISTER 8BIT 16SOP" TopLayer    16-SOIC                53.6750      43.7250      90       "74HC Series 6 V 3-State Surface Mount Shift Register - SOIC-16"                                   
U4         ULN2003AIDR                    BottomLayer 16-SOIC                100.3750     53.9250      0        "50-V, 7-ch darlington transistor array, -40 to 105C 16-SOIC -40 to 105"                           
U3         STM32G030F6P6TR                TopLayer    TSSOP20                90.1500      53.7250      0        "MCU 32-bit ARM Cortex M0+ RISC 32KB Flash 2.5V/3.3V 20-Pin TSSOP T/R"                             
U2         LD29150DT33R                   TopLayer    DPAK-TO252             37.3040      45.8480      270      "LD29150 Series 3.3 V 1.5 A Fixed Output SMT LDO Voltage Regulator - TO-252"                       
U1         L7805CD2T-TR                   TopLayer    D2PAK-TO-263-3         23.1130      47.2125      270      "Standard Regulator Pos 5V 1.5A 3-Pin(2+Tab) D2PAK T/R / IC REG LDO 5V 1.5A D2PAK"                 
SW3        "PTS815 SJK 250 SMTR LFS"      TopLayer    BUTTON_SMD             45.5140      57.4390      180      "Microminiature Top Actuated Tactile Switch Momentary SPST-NO 50mA 12VDC Surface Mount T/R"        
SW2        EG1215AA                       TopLayer    EG1215AA               25.0250      2.4500       0        "Slide Switch, SPDT, 0.025A, 24V, SMD"                                                             
SW1        EG1215AA                       TopLayer    EG1215AA               2.4750       39.5000      270      "Slide Switch, SPDT, 0.025A, 24V, SMD"                                                             
R32        HRG3216Q-20R0-D-T1             TopLayer    RES_1206               116.1808     34.7750      90       "Fixed Resistor, Thin Film, 1W, 20ohm, 200V, 0.5% +/-Tol, 50ppm/Cel, Surface Mount, 1206"          
R31        HRG3216Q-20R0-D-T1             TopLayer    RES_1206               112.4904     34.7750      90       "Fixed Resistor, Thin Film, 1W, 20ohm, 200V, 0.5% +/-Tol, 50ppm/Cel, Surface Mount, 1206"          
R30        HRG3216Q-20R0-D-T1             TopLayer    RES_1206               108.7999     34.7750      90       "Fixed Resistor, Thin Film, 1W, 20ohm, 200V, 0.5% +/-Tol, 50ppm/Cel, Surface Mount, 1206"          
R29        HRG3216Q-20R0-D-T1             TopLayer    RES_1206               105.1094     34.7750      90       "Fixed Resistor, Thin Film, 1W, 20ohm, 200V, 0.5% +/-Tol, 50ppm/Cel, Surface Mount, 1206"          
R28        HRG3216Q-20R0-D-T1             TopLayer    RES_1206               101.4190     34.7750      90       "Fixed Resistor, Thin Film, 1W, 20ohm, 200V, 0.5% +/-Tol, 50ppm/Cel, Surface Mount, 1206"          
R27        HRG3216Q-20R0-D-T1             TopLayer    RES_1206               97.7285      34.7750      90       "Fixed Resistor, Thin Film, 1W, 20ohm, 200V, 0.5% +/-Tol, 50ppm/Cel, Surface Mount, 1206"          
R26        HRG3216Q-20R0-D-T1             TopLayer    RES_1206               94.0380      34.7750      90       "Fixed Resistor, Thin Film, 1W, 20ohm, 200V, 0.5% +/-Tol, 50ppm/Cel, Surface Mount, 1206"          
R25        HRG3216Q-20R0-D-T1             TopLayer    RES_1206               90.3476      34.7750      90       "Fixed Resistor, Thin Film, 1W, 20ohm, 200V, 0.5% +/-Tol, 50ppm/Cel, Surface Mount, 1206"          
R24        HRG3216Q-20R0-D-T1             TopLayer    RES_1206               86.6571      34.7750      90       "Fixed Resistor, Thin Film, 1W, 20ohm, 200V, 0.5% +/-Tol, 50ppm/Cel, Surface Mount, 1206"          
R23        HRG3216Q-20R0-D-T1             TopLayer    RES_1206               82.9666      34.7750      90       "Fixed Resistor, Thin Film, 1W, 20ohm, 200V, 0.5% +/-Tol, 50ppm/Cel, Surface Mount, 1206"          
R22        HRG3216Q-20R0-D-T1             TopLayer    RES_1206               79.2511      34.7750      90       "Fixed Resistor, Thin Film, 1W, 20ohm, 200V, 0.5% +/-Tol, 50ppm/Cel, Surface Mount, 1206"          
R21        HRG3216Q-20R0-D-T1             TopLayer    RES_1206               75.5357      34.7750      90       "Fixed Resistor, Thin Film, 1W, 20ohm, 200V, 0.5% +/-Tol, 50ppm/Cel, Surface Mount, 1206"          
